ACT_ITEM_COMBINATION,,,,,,,,,,,,
인덱스,행동인덱스,아이템인덱스,조건 스위치 번호,조건 스위치 상태,보상종류,보상 인덱스,부가스트링,고양이이미지파일명,결과 On 스위치 번호,,스위치번호,내용
1,12,10,,,0,,고양이가 시공의 폭풍으로 빨려들어갔습니다,히오스 마크,,,1,배부름
2,16,3,,,3,2,하필이면 '썩은' 멸치를 먹이다니...,찌푸린 표정,,,,
3,2,,1,OFF,,,배고프냥냥냐냐냐냥,말풍선,,,,
4,5,1,,,3,5,콜록콜록. 매운가 보군요.,,,,,
5,1,6,,,3,7,고양이한테 된장을 왜 던져요?,노란 고양이,,,,
6,3,7,,,1,10,고양이한테 쌈장을 왜 발라요?,빨간 고양이,,,,
7,10,,,,2,9,고양이가 똥을 쌌습니다,똥,,,,
8,15,9,,,1,14,제발.. 똥은 싸지 않았으면..,Default,,,,
9,14,,,,2,12,똥 안나오는 거 먹이자 히힛,,,,,
10,16,12,,,2,11,고양이는 소시지를 좋아해,,,,,
11,13,11,,,111,,고양이가 당신에게 빠져버렸어요,,,,,
12,6,,,,3,6,"후욱, 후욱~ 좋아하는지는 잘 모르겠는데?",,,,,
13,7,,,,,,꺄르르륵꺄륵꺄륵,,,,,
14,8,,,,,,흥!,,,,,
15,9,,,,,,고양이랑 밀당을 어떻게 해요?,,,,,
16,11,,,,,,고양이 찔러본 적 있어요?,,,,,
17,5,8,,,,,Do you know Kimchi?,,,,,
18,4,,,,,,고양이 달랠 줄 모르시네~,,,,,
19,1,2,,,3,1,필요없음,,,,,
20,17,4,,,,,고양이가 먼지를 좋아해요?,,,,,
21,17,5,,,,,털뭉치 뭉글뭉글,,,,,